objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"沙丘：帝国 - 起义","397598","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","135508944","8.26215","8.69836","3.5288","5","30817","thing","Dune: Imperium – Uprising","1","6","120","120","60","2025","1,2,3,4,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","308","","","","","淘宝","","","","","Broadway Toys LTD; Dire Wolf","Chinese","2025","Chinese edition"
"沙丘：帝國 血脈永續","426129","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","138202126","6.85205","8.69527","3.5833","0","9528","thing","Dune: Imperium – Bloodlines","1","6","120","120","60","2025","2,3,4,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","212.48","","","","2025-10-26","淘宝aa桌游","","","","","Broadway Toys LTD","Chinese","2025","Chinese edition"
"波多黎各 1897 特別典藏版","415843","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","138477266","7.01527","8.65536","2.9697","0","6959","thing","Puerto Rico 1897: Special Edition","1","5","120","120","60","2025","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1166","","","","","新物集","","","","","GoKids 玩樂小子","Chinese","2025","Chinese edition"
"炸弹克星","413246","10","1","0","1","0","0","0","0","0","0","0","3","","","","","","131410223","7.65055","8.032","2.0078","85","30043","thing","Bomb Busters","2","5","30","30","30","2024","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","165","","","","2024-10-10","咸鱼","","","茨坝人才公寓405","2024-10-13","Broadway Toys LTD","Chinese","2024","Simplified Chinese edition"
"無間風雲","153064","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","138055898","6.08934","6.52853","1.2593","2735","5256","thing","Good Cop Bad Cop","4","8","20","20","10","2014","4,5,6,7,8","6,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","58.52","","","","2025-10-26","淘宝","","盗版","","","Broadway Toys LTD","Chinese","0","Chinese edition"
"牛頭王","432","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395865","6.86","6.98782","1.1886","674","51462","thing","Take 5","2","10","45","45","45","1994","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","47.56","","","","2024-12-24","淘宝","","","茨坝人才公寓405","2025-01-04","Broadway Toys LTD; AMIGO","Chinese; English","0","Chinese/English edition"
"猩猩相惜","400348","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395916","0","6.225","1","0","21","thing","Spill The Tea","3","8","0","0","0","2023","","","","","","","","","","standalone","","49","","","","2023-10-14","淘宝","","","茨坝人才公寓405","2023-10-24","C.O.R.E Lab","Chinese","2023","Simplified Chinese edition"
"現代藝術","118","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","131410019","7.33157","7.52451","2.2756","223","34512","thing","Modern Art","3","5","45","45","45","2017","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","158","","","","2024-04-06","咸鱼","","","茨坝人才公寓405","2024-04-10","CMON Global Limited","Chinese","2017","CMON Chinese edition 2017"
"璀璨宝石：宝可梦","406291","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395546","6.54485","7.9121","1.8654","1230","4183","thing","스플렌더: Pokémon (Splendor: Pokémon)","2","4","30","30","30","2024","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","224.09","","","","2024-06-02","淘宝","","","茨坝人才公寓405","2024-06-12","Space Cowboys","Chinese","2024","Chinese edition"
"璀璨宝石：对决","364073","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395611","7.56955","7.87908","2.0433","111","40500","thing","Splendor Duel","2","2","30","30","30","2022","2","2","10+","No necessary in-game text","","","","","","standalone","","131.7","","","","2024-11-11","淘宝","","","茨坝人才公寓405","2024-11-25","Space Cowboys","Chinese","2022","Chinese edition"
"璀璨寶石","148228","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395584","7.29245","7.42099","1.7747","244","141206","thing","Splendor","2","4","30","30","30","2016","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","159","","","","2024-02-27","咸鱼","","","茨坝人才公寓405","2024-03-01","Space Cowboys","Chinese","2016","Chinese edition"
"瘟疫危機︰承傳","161936","10","0","0","1","1","0","0","0","0","0","0","3","","","","","","144050145","8.34285","8.50044","2.8284","3","90025","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","418","","","","","咸鱼","","","","","Jolly Thinkers; Z-Man Games","Chinese","2016","Chinese blue edition"
"矮人掘金：20週年紀念版","406322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147112398","5.85238","7.68528","1.8824","0","2784","thing","Saboteur: 20th Anniversary Edition","2","12","30","30","30","2024","4,5,6,7,8,9","6,7","8+","No necessary in-game text","","","","","","standalone","","35.39","","","","","淘宝","","盗版","","","AMIGO; Broadway Toys LTD","Chinese","2024","Chinese edition"
"籤籤入扣 stick stack","204734","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","135176071","5.61378","6.50221","1","8863","697","thing","Stick Stack","2","99","30","30","30","2016","3,4,5,6,7,8,9,10,11,12,13,14,15","6","3+","No necessary in-game text","","","","","","standalone","","74","","","","","新物集","","","","","Broadway Toys LTD","Chinese","2016","Chinese edition"
"罪案疑云：天使与恶魔","388374","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131410100","5.56132","8.566","2","0","933","thing","Detective: Saints & Sinners","1","5","120","120","120","2025","1","1","14+","Unplayable in another language","","","","","","expansion","","204","","","","2024-09-19","新物集","","","茨坝人才公寓405","2025-01-14","Game Harbor","Chinese","2025","Chinese edition"
"罪案疑云：天使之城","218074","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395669","6.87853","7.84214","2.3548","649","8951","thing","Detective: City of Angels","1","5","150","150","30","2021","1,2,3,4,5","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","500","","","","2024-07-04","咸鱼","","","茨坝人才公寓405","2024-07-15","Game Harbor; Van Ryder Games","Chinese","2021","Chinese edition"
"罪案疑云：好莱坞的枪声","237900","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131398198","5.79724","8.3723","2.8889","0","3526","thing","Detective: Bullets over Hollywood","1","5","150","150","30","2022","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","200","","","","","咸鱼","","","茨坝人才公寓405","","Game Harbor","Chinese","2022","Chinese edition"
"罪案疑云：迷雾与幻影","287075","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131410163","5.7337","8.45835","2.6667","0","2775","thing","Detective: Smoke and Mirrors","1","5","120","120","45","2025","1","1","14+","Unplayable in another language","","","","","","expansion","","204","","","","2024-09-19","新物集","","","茨坝人才公寓405","2025-01-14","Game Harbor","Chinese","2025","Chinese edition"
"花砖物语：巧夺天工","363247","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","131426756","6.835","7.85285","1.7889","720","8400","thing","Azul: Master Chocolatier","2","4","45","45","30","2024","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","328","","","","2024-11-04","新物集","","","茨坝人才公寓405","2024-12-20","One Moment Games","Chinese","2024","Simplified Chinese edition"
"英雄止步","333255","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","134420430","7.14361","7.88223","2.4936","354","13319","thing","Keep the Heroes Out!","1","4","40","40","40","2022","1,2,3","2","8+","No necessary in-game text","","","","","","standalone","","300","","","","","新物集","","","","","Brueh Games Inc.; Treetato Studio","Chinese","0","Chinese edition"
"英雄止步:會長的復仇","351550","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","134420455","6.01389","8.12595","2.5556","0","5043","thing","Keep the Heroes Out!: Guild Master's Revenge Expansion","1","5","40","40","40","2022","2,3,4","3","8+","No necessary in-game text","","","","","","expansion","","156","","","","","","","","","","Brueh Games Inc.; Treetato Studio","Chinese","0","Chinese edition"
"菲雅的沼泽","438442","0","0","0","1","0","1","0","0","0","0","0","3","","","","","","140810214","6.37034","7.59818","3.1895","1682","3581","thing","Feya's Swamp","2","4","100","100","80","2025","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","218","","","","","新物集","","","","","YOKA Games","Chinese","2025","Chinese edition"
"詐賭巫師","38194","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","142913558","5.84297","6.25179","1.6111","4408","3821","thing","Cheaty Mages!","3","6","30","30","30","2012","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Swan Panasia Co., Ltd.","Chinese","2012","Chinese edition"
"诡镇奇谈：洛夫克拉夫特情书","424784","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","145483028","6.20361","7.448","1.4242","2246","4778","thing","Arkham Horror: Lovecraft Letter","2","6","20","20","15","2025","3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","67.55","","","","2026-05-10","淘宝","","","","2026-05-20","Z-Man Games","Chinese","2025","Simplified Chinese edition"
"诺丁汉警长（第二版）","298638","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","146647733","6.52797","7.20131","1.7111","1279","11218","thing","Sheriff of Nottingham: 2nd Edition","3","6","60","60","60","2020","4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Broadway Toys LTD; CMON Global Limited","Chinese","2020","Chinese edition"
"谍报风云：5周年纪念版","225694","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131429599","7.54641","7.76356","1.8247","117","47103","thing","Decrypto","3","8","45","45","15","2023","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","156.6","","","","2024-12-24","淘宝","","","茨坝人才公寓405","2025-01-04","Scorpion Masqué","Chinese","2023","Chinese 5th Anniversary edition"
"遙遠之地","385761","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131425552","7.27388","7.53859","1.9449","254","34325","thing","Faraway","2","6","25","25","25","2024","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","139","","","","2024-12-19","摩点","","","茨坝人才公寓405","2025-01-21","Blackrock Games; BoardGamePlanet; Catch Up Games; CMON Global Limited; 狗吠火車","Chinese","2024","Chinese edition with Endless River cover"
"遙遠之地：地下族群","425029","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","132329563","6.35219","7.82922","1.9167","0","8658","thing","Faraway: People From Below","2","7","25","25","25","2025","2,3,4,5,6","2,4,5","6+","No necessary in-game text","","","","","","expansion","","28","","","","","","","","","","Catch Up Games; CMON Global Limited; 狗吠火車","Chinese","2025","Chinese edition"
"遙遠之地：星空之下","451708","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146536564","5.86546","7.72049","2.125","0","4113","thing","Faraway: Under Starry Skies","2","6","30","30","15","2026","2,3,4,5,6","2,3,4,5","8+","No necessary in-game text","","","","","","expansion","","28","","","","","新物集","","","","","Blackrock Games; BoardGamePlanet; Catch Up Games; CMON Global Limited","Chinese","2026","Traditional Chinese edition"
"阿瑞迪亚：勇踏征途","219650","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","138477276","7.09816","8.97474","3.307","397","5630","thing","Arydia: The Paths We Dare Tread","1","4","240","240","60","2026","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Far Off Games; Rawstone","Chinese","2026","Chinese edition"
"骰筑火星","296108","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","137519000","6.64416","7.29103","2.4014","1023","10669","thing","Terraforming Mars: The Dice Game","1","4","45","45","45","2023","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","170","","","","","","","","","","FryxGames; Stronghold Games; Surfin' Meeple China","Chinese","2023","Chinese edition"
"骸骨險境: 堅不可摧","347811","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131426871","6.52365","8.80049","3.8571","1285","5139","thing","Too Many Bones: Unbreakable","1","4","180","180","60","2023","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","468.22","","","","2025-02-26","淘宝","","","茨坝人才公寓405","2025-03-09","GoKids 玩樂小子","Chinese","2023","Traditional Chinese edition"
"魔戒：中洲对决","421006","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131429429","8.00025","8.35151","2.0709","19","45167","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","177.02","","","","2024-10-14","淘宝","","带双promo","茨坝人才公寓405","2024-11-04","Repos Production","Chinese","2024","Chinese edition"
"魔戒：命运同盟","436217","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","144050140","7.74578","8.33573","3.1036","58","24034","thing","The Lord of the Rings: Fate of the Fellowship","1","5","150","150","60","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","360","","","","","咸鱼","","","","","Z-Man Games","Chinese","2025","Simplified Chinese edition"
